Template,Title,Category
"<p class=""card-body"">Hi {name}, <br/><br/>I didn't hear back from you last week when I was looking for the appropriate person managing your [statement]. That's not a problem.If it makes sense to talk, let me know how your calendar looks. If not, who is the appropriate person?</p>",Re: [same subject],Sequence Sales Email Templates
"<p class=""card-body"">Hi {name}, <br/><br/>I have tried to get in touch with you to see if there is a mutual fit between our companies expertise and your goals around [statement]. <br/><br/>If you are not interested or there is another person you would like me to follow up with, please let me know. <br/><br/>Would it make sense to invest 5-10 minutes to determine if there is a mutual fit between your [statement] and our expertise? If not, who do you recommend I talk to?</p>",Re: [same subject],Sequence Sales Email Templates
"<p class=""card-body"">Hi {name}, <br/><br/>I’ve reached out a few times regarding your sales prospecting strategies there at {company}. My guess is that we're out of touch for one of three reasons: <br/><br/>- You don't see a fit <br/><br/>- You have another solution to create predictable outbound prospecting numbers <br/><br/>- You are secretly a superhero and have been too busy fighting crime to reply <br/><br/>If any of these are correct then they may be the exact reason why we should talk now...</p>",Re: [same subject],Sequence Sales Email Templates
,Revenue Growth,Sequence Sales Email Templates
"<p class=""card-body"">{name}, <br/><br/>I wanted to see if you had 5-10 minutes to connect re: [what you do]. We’ve been able to generate solid revenue for our clients and both are still fairly untapped. <br/><br/>Can you point me to the person that handles this?</p>",Growth initiatives,Sequence Sales Email Templates
"<p class=""card-body"">Hi {name}, <br/><br/>We recently helped a startup [insert result] by [what you do]. Can you point me to the person that handles [what you do] to discuss further?</p>",(name},Sequence Sales Email Templates
"<p class=""card-body"">{name}, <br/><br/>One of our clients was able to [improve metric by number] at half of their target cost per acquisition number. Is this something that might interest you right now?If so, can you point me in the direction of the person that handles this?</p>",Scaling customer acquisition,Sequence Sales Email Templates
"<p class=""card-body"">{name}, <br/><br/>I reached out previously regarding WHAT YOU DO and haven't heard back from you yet. <br/><br/>This tells me a few things: <br/><br/>• You're being chased by a T-rex and haven't had time to respond. <br/><br/>• You're interested but haven't had time to respond. <br/><br/>• You aren't interested. <br/><br/>Whichever one it is, please let us know as we're getting worried!</p>",Are you ok?,Sequence Sales Email Templates
,,Inbound Sales Email Templates
"<p>Hi {name},Thank you for signing up to test drive Kapost. I recently read your blog post ""Can Millennials Sell?"" <br/><br/>As a millennial myself, this specific line really resonated with me, ""Juxtapose this against your average Gen X salesperson who still speaks lovingly of the Blackberry's tactile keyboard, who maintains maybe just 1-2 social properties, and who prefers the face-to-face meeting to the digital one."" My dad is a successful salesmen who is still using a Blackberry and scheduling in person meetings, ha! <br/><br/>My role here at Kapost is to see if I can answer any questions for you about Kapost, or clarify anything about our platform after taking a Test Drive. <br/><br/>Please let me know if I can provide you with any additional resources.</p>",YES! Millennials can sell.,Inbound Sales Email Templates
"<p>Hey {name} <br/><br/>Whats going on?I saw that you downloaded our {ebook / whitepaper / guide} -- I hope that you enjoyed it or soon will. <br/><br/>If I can be of any help at all, please don't hesitate to reach out. <br/><br/>Take care <br/>{myname} <br/>{mytitle} @ {mycompany} <br/><br/>PS: just connected on Linkedin</p>",{name of downloaded ebook},Inbound Sales Email Templates
"<p>Ben, loved your tweet yesterday</p> <p>Ben, love what you guys are doing at Datanyze</p> <p>Appropriate Person?</p> <p>Right Direction?</p> <p>Quick Question? (<a href=""http://www.slideshare.net/HubSpot/how-towriteemailspeoplewanttorespondto"" rel=""noopener noreferrer"" target=""_blank"">source</a>)</p> <p>[Mutual connection] recommended I get in touch. (<a href=""http://www.slideshare.net/HubSpot/how-towriteemailspeoplewanttorespondto"" rel=""noopener noreferrer"" target=""_blank"">source</a>)</p> <p>Ideas for [thing that’s important to them]. (<a href=""http://www.slideshare.net/HubSpot/how-towriteemailspeoplewanttorespondto"" rel=""noopener noreferrer"" target=""_blank"">source</a>)</p> <p>Question about [recent trigger event]. (<a href=""http://www.slideshare.net/HubSpot/how-towriteemailspeoplewanttorespondto"" rel=""noopener noreferrer"" target=""_blank"">source</a>)</p> <p>Question about [a goal they have]. (<a href=""http://www.slideshare.net/HubSpot/how-towriteemailspeoplewanttorespondto"" rel=""noopener noreferrer"" target=""_blank"">source</a>)</p> <p>Thoughts about [title of their blog post]. (<a href=""http://www.slideshare.net/HubSpot/how-towriteemailspeoplewanttorespondto"" rel=""noopener noreferrer"" target=""_blank"">source</a>)</p> <p>Have you considered [thought / recommendation]? (not your service!) (<a href=""http://www.slideshare.net/HubSpot/how-towriteemailspeoplewanttorespondto"" rel=""noopener noreferrer"" target=""_blank"">source</a>)</p> <p>(Name), quick question for you. (<a href=""http://www.slideshare.net/HubSpot/how-towriteemailspeoplewanttorespondto"" rel=""noopener noreferrer"" target=""_blank"">source</a>)</p> <p>[Referrer] said you might be able to answer this question.</p>",,Best Subject Lines For Sales Emails
"<p>I noticed you ... (<a href=""http://www.slideshare.net/HubSpot/how-towriteemailspeoplewanttorespondto"" rel=""noopener noreferrer"" target=""_blank"">source</a>)</p> <p>[Mutual connection] mentioned ... (<a href=""http://www.slideshare.net/HubSpot/how-towriteemailspeoplewanttorespondto"" rel=""noopener noreferrer"" target=""_blank"">source</a>)</p> <p>I Saw that we both ... (<a href=""http://www.slideshare.net/HubSpot/how-towriteemailspeoplewanttorespondto"" rel=""noopener noreferrer"" target=""_blank"">source</a>)</p> <p>I loved your post on ... (<a href=""http://www.slideshare.net/HubSpot/how-towriteemailspeoplewanttorespondto"" rel=""noopener noreferrer"" target=""_blank"">source</a>)</p> <p>Congratulations on ... (<a href=""http://www.slideshare.net/HubSpot/how-towriteemailspeoplewanttorespondto"" rel=""noopener noreferrer"" target=""_blank"">source</a>)</p>",,Opening Lines For Sales Emails
"<p>Hello  <em>{name}</em>, </p> <p>How would you like to cut your printing costs by more than 60 percent per month? Give us a few days of your time and will show you how.</p> <p>Will review every facet of your current system and analyze its strengths and weaknesses. Well look at a comparison of costs for the other businesses of your size and provide a comprehensive report of short and long-term actions that will generate substantial savings for your company.</p> <p>The enclosed proposal outlines are the details of what well we do and how successful we’ve been at doing this for other businesses. In fact, we guarantee you’ll save no less than 10 percent per year savings as a result of our efforts.</p> <p>I’ll meet you after you’ve had a chance to review our proposal.</p> <p>Hi {name},</p> <p>My name is {name}, and I am a business development manager with {company}. My objective in sending this email proposal is to decrease the cost of {company} nightly cleaning service by 15% using only direct hire labor. We can do this within 60 days of proposal acceptance.</p> <p>Here’s how the transition would be implemented:</p> <p>First, we will hire the labor to work in all 36 Georgia stores within 30 days.</p> <p>Within 60 days, we will deliver on nightly cleaning services, including scrubbing and buffing floors, high dusting, and polishing fixtures. We will do this overnight, seven days a week, and {company} will have access to a customer service line available for them to dial into at any time if there are issues. I will be your main point of contact throughout this process.</p> <p>We believe this will solve the issues you discussed in our meeting. First, you said you were concerned with ensuring quality standards are met, but you also want to reduce costs. We are offering our services for $300 a day and will continue services on an ongoing basis.</p> <p>Thank you for your time. I will follow up in one business day if I haven’t heard from you sooner.</p>",,Sales Proposal Email Templates
"<p>Hi {name},</p> <p>Thanks so much for being a loyal {company} for all these years! To show our appreciation, we are pleased to offer you a discount on any design work you need help with before the end of the year. To claim this offer, just hit “reply” to this email before Oct 31 with any work you need before year-end and we’ll take 30% off when we send the final invoice. It’s our way of saying: Happy Fourth Quarter!</p> <p>Wishing you all the best.</p> <p>PS: You know how busy it gets around Q4 which means, we can’t offer this discount after Oct 31 (even if we want to) so be sure to hit “reply” right away and we’ll get you on the calendar. Cheers!</p> <p>Hello {name},</p> <p>We are happy to announce a 25% discount on our brand new unisex jewelry accessory range designed by the leading experts of {company}. This range is absolutely available at leading retail outlets, or you can also buy online at our site {website link}. On every online purchase, you can avail of free shipping to your address. For more information, find the attached brochures which will help you to understand the different plans available for this unique &amp; interesting collection.</p> <p>Furthermore, you can enjoy one on one offer on every purchase worth $200. Our exclusive range of accessories and jewelry is liked by the masses for its fashionable designs and durability. Do not miss the golden opportunity to make these trendy accessories yours!</p> <p>Your queries and questions will be sorted out by our customer support team as on the given number:</p> <p>Hi {name},</p> <p>For limited time, we’re offering 50% off all annual plans for one year so you can access advanced features that will help you grow your business.</p> <p>Get the word out - advertise across major marketplaces including  <em>{company}</em></p> <p>Get sales - offer coupons and discounts</p> <p>Get found - take advantage of enhanced SEO to target found on search engines</p> <p>Get support - all paid plans offer live chat and email support</p> <p>Be sure to click “apply” next to the coupon code when you place your order to confirm your discount. All plans include live chat support with our customer success team to maximize value, This special deal ends this week. Take advantage of these features right away to get the most from your online store!</p> <p>This offer is for free users upgrading to any  <em>{company} </em>paid plan.</p>",,Discount Offer Email Templates
"<p>Hello {name},</p> <p>I took a quick look at your website and I immediately thorough of a case study that we recently published. In the article below, you can learn how one of our customers, {company}, has begun using {company} to automate her lead generation.</p> <p>Essentially, she’s now able to focus on her hot leads, while placing the “Zombie Leads” (those leads that fill out a form but are kind of just kicking the tires) into an automated lead nourishment campaign. She’s estimated it’s saved her 8 hours a week, so I’m sure it could save you some time as well!</p> <p>Save time with automated lead generation</p> <p>I’d be happy to help strategize how our lead scoring could work for you. Do you have 15 minutes tomorrow between 9 and 11 am CST? If that time doesn’t work, feel free to use my calendar here: {calendar link}</p> <p>Either way, I look forward to hearing from you soon!</p> <p>Hello {name}, <br/><br/>Thank you for your interest in replying. I’d be happy to jump in on a call to give you an in-depth review of our platform. Let me know how the time works, and I’ll send you a calendar invitation. Meanwhile, can you answer these questions to help me better understand your situation so that I can present the call accordingly: <br/><br/>How are you currently promoting your email and what are the challenges you want to address? <br/><br/>How are you currently receiving your potential emails? Are you looking for a single account or multiple users? <br/><br/>How many contracts are you looking for each month?</p> <p>Hi  <em>{name},</em></p> <p>I read your fantastic blog post about product descriptions on {company}, and I wondered—do you have copywriting clients who own eCommerce stores?</p> <p>I’d love to introduce you to our new Awesome App. This App helps eCommerce owners [fill in a serious benefit]</p> <p>Sounds interesting?</p> <p>Please reply to this email and I’ll set up a quick demo at a time most convenient for you.</p>",,Persuasive Sales Email Templates
"<p>Hi {name},</p> <p>Your website’s design is absolutely brilliant. The visuals really enhance your message and the content compels action. I’ve forwarded it to a few of my contacts who think could benefit from your services.</p> <p>When I was looking at your site, though, I noticed a mistake that you’ve made re: search engine optimization. It’s a relatively simple fix.</p> <p>Would you like me to write it up so that you can share it with your web team? If this is a priority, I can also get on a call.</p> <p>Hello  <em>{name}</em>,</p> <p>In working with other {industry}, one of the key issues they’re struggling with is {key issue}.</p> <p>This past year we helped numerous companies to {business driver}, resulting in {money saved, revenue, added, productivity increase}.</p> <p>If this is something you’re challenged with too, let’s set up a quick call. I have some ideas that might help.</p> <p>All the best.</p> <p>Hi {name},</p> <p>What would it mean to your top-line revenue if you saw a 70% increase in contract rates, 50% improvement in closes and a 40% increase in quota-hitting sales reps?</p> <p>Let’s find a few minutes to talk about how {company} is providing these results to our clients.</p> <p>I’m available tomorrow {insert time you’re available}. Can we sync up?</p>",,Sales Introduction Email Templates
